report_name,report_agency,date,visits,language
Browser language,Department of Agriculture,1/28/24,1572,en-au
Browser language,Department of Agriculture,1/28/24,1568,en
Browser language,Department of Agriculture,1/28/24,1556,es-es
Browser language,Department of Agriculture,1/28/24,1269,en-in
Browser language,Department of Agriculture,1/28/24,858,de-de
Browser language,Department of Agriculture,1/28/24,773,fr-fr
Browser language,Department of Agriculture,1/28/24,772,es-mx
Browser language,Department of Agriculture,1/28/24,740,ja
Browser language,Department of Agriculture,1/28/24,649,c
Browser language,Department of Agriculture,1/28/24,582,ru
Browser language,Department of Agriculture,1/28/24,547,pt-br
Browser language,Department of Agriculture,1/28/24,532,ko-kr
Browser language,Department of Agriculture,1/28/24,512,es
Browser language,Department of Agriculture,1/28/24,411,zh-tw
Browser language,Department of Agriculture,1/28/24,406,it-it
Browser language,Department of Agriculture,1/28/24,391,ru-ru
Browser language,Department of Agriculture,1/28/24,355,nl-nl
Browser language,Department of Agriculture,1/28/24,325,de
Browser language,Department of Agriculture,1/28/24,314,fr-ca
Browser language,Department of Agriculture,1/28/24,249,tr-tr
Browser language,Department of Agriculture,1/28/24,241,ar
Browser language,Department of Agriculture,1/28/24,241,fr
Browser language,Department of Agriculture,1/28/24,238,"zh-cn,zh"
Browser language,Department of Agriculture,1/28/24,226,pl-pl
Browser language,Department of Agriculture,1/28/24,187,id-id
Browser language,Department of Agriculture,1/28/24,187,vi-vn
Browser language,Department of Agriculture,1/28/24,182,en-nz
Browser language,Department of Agriculture,1/28/24,174,en-ph
Browser language,Department of Agriculture,1/28/24,165,en-sg
Browser language,Department of Agriculture,1/28/24,151,pt-pt
Browser language,Department of Agriculture,1/28/24,149,th-th
Browser language,Department of Agriculture,1/28/24,146,en-za
Browser language,Department of Agriculture,1/28/24,146,ko
Browser language,Department of Agriculture,1/28/24,144,el-gr
Browser language,Department of Agriculture,1/28/24,141,sv-se
Browser language,Department of Agriculture,1/28/24,123,he-il
Browser language,Department of Agriculture,1/28/24,118,nb-no
Browser language,Department of Agriculture,1/28/24,109,cs-cz
Browser language,Department of Agriculture,1/28/24,106,uk-ua
Browser language,Department of Agriculture,1/28/24,102,id
Browser language,Department of Agriculture,1/27/24,272202,en-us
Browser language,Department of Agriculture,1/27/24,9716,en-gb
Browser language,Department of Agriculture,1/27/24,3612,en-ca
Browser language,Department of Agriculture,1/27/24,2857,es-419
Browser language,Department of Agriculture,1/27/24,2654,es-us
Browser language,Department of Agriculture,1/27/24,2258,zh-cn
Browser language,Department of Agriculture,1/27/24,1506,en-au
Browser language,Department of Agriculture,1/27/24,1501,es-es
Browser language,Department of Agriculture,1/27/24,1251,en
Browser language,Department of Agriculture,1/27/24,1153,en-in
Browser language,Department of Agriculture,1/27/24,863,c
Browser language,Department of Agriculture,1/27/24,837,"zh-cn,zh"
Browser language,Department of Agriculture,1/27/24,723,de-de
Browser language,Department of Agriculture,1/27/24,705,fr-fr
Browser language,Department of Agriculture,1/27/24,643,es-mx
Browser language,Department of Agriculture,1/27/24,560,pt-br
Browser language,Department of Agriculture,1/27/24,505,ko-kr
Browser language,Department of Agriculture,1/27/24,476,ru
Browser language,Department of Agriculture,1/27/24,437,es
Browser language,Department of Agriculture,1/27/24,394,ja
Browser language,Department of Agriculture,1/27/24,390,ru-ru
Browser language,Department of Agriculture,1/27/24,384,it-it
Browser language,Department of Agriculture,1/27/24,293,nl-nl
Browser language,Department of Agriculture,1/27/24,265,ar
Browser language,Department of Agriculture,1/27/24,260,fr-ca
Browser language,Department of Agriculture,1/27/24,247,zh-tw
Browser language,Department of Agriculture,1/27/24,235,tr-tr
Browser language,Department of Agriculture,1/27/24,228,de
Browser language,Department of Agriculture,1/27/24,224,pl-pl
Browser language,Department of Agriculture,1/27/24,212,fr
Browser language,Department of Agriculture,1/27/24,182,en-nz
Browser language,Department of Agriculture,1/27/24,172,en-ph
Browser language,Department of Agriculture,1/27/24,169,vi-vn
Browser language,Department of Agriculture,1/27/24,167,el-gr
Browser language,Department of Agriculture,1/27/24,146,sv-se
Browser language,Department of Agriculture,1/27/24,144,en-sg
Browser language,Department of Agriculture,1/27/24,141,id-id
Browser language,Department of Agriculture,1/27/24,123,en-za
Browser language,Department of Agriculture,1/27/24,117,th-th
Browser language,Department of Agriculture,1/27/24,116,pt-pt
Browser language,Department of Agriculture,1/27/24,108,da-dk
Browser language,Department of Agriculture,1/27/24,106,nb-no
Browser language,Department of Agriculture,1/27/24,101,he-il
Browser language,Department of Agriculture,1/26/24,457187,en-us
Browser language,Department of Agriculture,1/26/24,10614,en-gb
Browser language,Department of Agriculture,1/26/24,3564,en-ca
Browser language,Department of Agriculture,1/26/24,3489,es-419
Browser language,Department of Agriculture,1/26/24,3091,es-us
Browser language,Department of Agriculture,1/26/24,2908,zh-cn
Browser language,Department of Agriculture,1/26/24,2530,es-es
Browser language,Department of Agriculture,1/26/24,1999,en
Browser language,Department of Agriculture,1/26/24,1326,en-au
Browser language,Department of Agriculture,1/26/24,1168,en-in
Browser language,Department of Agriculture,1/26/24,967,pt-br
Browser language,Department of Agriculture,1/26/24,940,fr-fr
Browser language,Department of Agriculture,1/26/24,933,es-mx
Browser language,Department of Agriculture,1/26/24,830,de-de
Browser language,Department of Agriculture,1/26/24,763,ja
Browser language,Department of Agriculture,1/26/24,675,es
Browser language,Department of Agriculture,1/26/24,565,ru
Browser language,Department of Agriculture,1/26/24,546,it-it
Browser language,Department of Agriculture,1/26/24,536,ru-ru
Browser language,Department of Agriculture,1/26/24,486,ko-kr
Browser language,Department of Agriculture,1/26/24,424,de
Browser language,Department of Agriculture,1/26/24,362,zh-tw
Browser language,Department of Agriculture,1/26/24,360,fr
Browser language,Department of Agriculture,1/26/24,345,tr-tr
Browser language,Department of Agriculture,1/26/24,340,nl-nl
Browser language,Department of Agriculture,1/26/24,288,fr-ca
Browser language,Department of Agriculture,1/26/24,265,pl-pl
Browser language,Department of Agriculture,1/26/24,262,ar
