report_name,report_agency,date,os,visits,browser
Operating system and browser,Department of Agriculture,1/28/24,Linux,115,Samsung Internet
Operating system and browser,Department of Agriculture,1/28/24,Windows,113,Internet Explorer
Operating system and browser,Department of Agriculture,1/27/24,iOS,100592,Safari
Operating system and browser,Department of Agriculture,1/27/24,Android,59776,Chrome
Operating system and browser,Department of Agriculture,1/27/24,Windows,52422,Chrome
Operating system and browser,Department of Agriculture,1/27/24,Macintosh,19902,Safari
Operating system and browser,Department of Agriculture,1/27/24,Windows,15282,Edge
Operating system and browser,Department of Agriculture,1/27/24,iOS,14996,Chrome
Operating system and browser,Department of Agriculture,1/27/24,Macintosh,13919,Chrome
Operating system and browser,Department of Agriculture,1/27/24,Linux,10865,Chrome
Operating system and browser,Department of Agriculture,1/27/24,iOS,5495,Safari (in-app)
Operating system and browser,Department of Agriculture,1/27/24,Android,4089,Samsung Internet
Operating system and browser,Department of Agriculture,1/27/24,Chrome OS,3820,Chrome
Operating system and browser,Department of Agriculture,1/27/24,Windows,3418,Firefox
Operating system and browser,Department of Agriculture,1/27/24,Android,2202,Android Webview
Operating system and browser,Department of Agriculture,1/27/24,Macintosh,1694,Firefox
Operating system and browser,Department of Agriculture,1/27/24,Android,722,Firefox
Operating system and browser,Department of Agriculture,1/27/24,Android,534,Amazon Silk
Operating system and browser,Department of Agriculture,1/27/24,Windows,443,Opera
Operating system and browser,Department of Agriculture,1/27/24,iOS,299,(not set)
Operating system and browser,Department of Agriculture,1/27/24,Linux,244,Firefox
Operating system and browser,Department of Agriculture,1/27/24,Android,214,Opera
Operating system and browser,Department of Agriculture,1/27/24,Macintosh,137,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/27/24,(not set),134,(not set)
Operating system and browser,Department of Agriculture,1/27/24,(not set),123,Opera Mini
Operating system and browser,Department of Agriculture,1/27/24,Linux,113,Samsung Internet
Operating system and browser,Department of Agriculture,1/26/24,Windows,163993,Chrome
Operating system and browser,Department of Agriculture,1/26/24,iOS,100004,Safari
Operating system and browser,Department of Agriculture,1/26/24,Android,58783,Chrome
Operating system and browser,Department of Agriculture,1/26/24,Windows,57755,Edge
Operating system and browser,Department of Agriculture,1/26/24,Chrome OS,24686,Chrome
Operating system and browser,Department of Agriculture,1/26/24,Macintosh,24356,Safari
Operating system and browser,Department of Agriculture,1/26/24,Macintosh,23524,Chrome
Operating system and browser,Department of Agriculture,1/26/24,iOS,14580,Chrome
Operating system and browser,Department of Agriculture,1/26/24,Linux,10369,Chrome
Operating system and browser,Department of Agriculture,1/26/24,Windows,6288,Firefox
Operating system and browser,Department of Agriculture,1/26/24,iOS,5692,Safari (in-app)
Operating system and browser,Department of Agriculture,1/26/24,Android,4263,Samsung Internet
Operating system and browser,Department of Agriculture,1/26/24,Android,2528,Android Webview
Operating system and browser,Department of Agriculture,1/26/24,Macintosh,2201,Firefox
Operating system and browser,Department of Agriculture,1/26/24,Android,694,Firefox
Operating system and browser,Department of Agriculture,1/26/24,Windows,582,Opera
Operating system and browser,Department of Agriculture,1/26/24,Android,531,Amazon Silk
Operating system and browser,Department of Agriculture,1/26/24,Linux,317,Firefox
Operating system and browser,Department of Agriculture,1/26/24,Android,278,Opera
Operating system and browser,Department of Agriculture,1/26/24,iOS,259,(not set)
Operating system and browser,Department of Agriculture,1/26/24,(not set),220,(not set)
Operating system and browser,Department of Agriculture,1/26/24,Windows,180,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/26/24,Macintosh,165,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/26/24,Macintosh,145,Edge
Operating system and browser,Department of Agriculture,1/26/24,Linux,124,Samsung Internet
Operating system and browser,Department of Agriculture,1/26/24,Windows,119,Internet Explorer
Operating system and browser,Department of Agriculture,1/26/24,(not set),111,Opera Mini
Operating system and browser,Department of Agriculture,1/25/24,Windows,193800,Chrome
Operating system and browser,Department of Agriculture,1/25/24,iOS,109001,Safari
Operating system and browser,Department of Agriculture,1/25/24,Windows,73324,Edge
Operating system and browser,Department of Agriculture,1/25/24,Android,62076,Chrome
Operating system and browser,Department of Agriculture,1/25/24,Chrome OS,31631,Chrome
Operating system and browser,Department of Agriculture,1/25/24,Macintosh,29501,Safari
Operating system and browser,Department of Agriculture,1/25/24,Macintosh,28997,Chrome
Operating system and browser,Department of Agriculture,1/25/24,iOS,15413,Chrome
Operating system and browser,Department of Agriculture,1/25/24,Linux,10105,Chrome
Operating system and browser,Department of Agriculture,1/25/24,Windows,7482,Firefox
Operating system and browser,Department of Agriculture,1/25/24,iOS,6110,Safari (in-app)
Operating system and browser,Department of Agriculture,1/25/24,Android,4364,Samsung Internet
Operating system and browser,Department of Agriculture,1/25/24,Android,2555,Android Webview
Operating system and browser,Department of Agriculture,1/25/24,Macintosh,2314,Firefox
Operating system and browser,Department of Agriculture,1/25/24,Android,741,Firefox
Operating system and browser,Department of Agriculture,1/25/24,Windows,644,Opera
Operating system and browser,Department of Agriculture,1/25/24,Android,517,Amazon Silk
Operating system and browser,Department of Agriculture,1/25/24,Windows,514,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/25/24,Linux,346,Firefox
Operating system and browser,Department of Agriculture,1/25/24,Android,300,Opera
Operating system and browser,Department of Agriculture,1/25/24,iOS,263,(not set)
Operating system and browser,Department of Agriculture,1/25/24,Macintosh,227,Edge
Operating system and browser,Department of Agriculture,1/25/24,(not set),213,(not set)
Operating system and browser,Department of Agriculture,1/25/24,Macintosh,207,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/25/24,Linux,136,Samsung Internet
Operating system and browser,Department of Agriculture,1/25/24,Windows,131,Internet Explorer
Operating system and browser,Department of Agriculture,1/25/24,(not set),105,Opera Mini
Operating system and browser,Department of Agriculture,1/24/24,Windows,167513,Chrome
Operating system and browser,Department of Agriculture,1/24/24,iOS,108396,Safari
Operating system and browser,Department of Agriculture,1/24/24,Windows,71990,Edge
Operating system and browser,Department of Agriculture,1/24/24,Android,63272,Chrome
Operating system and browser,Department of Agriculture,1/24/24,Chrome OS,30645,Chrome
Operating system and browser,Department of Agriculture,1/24/24,Macintosh,30052,Safari
Operating system and browser,Department of Agriculture,1/24/24,Macintosh,29308,Chrome
Operating system and browser,Department of Agriculture,1/24/24,iOS,15602,Chrome
Operating system and browser,Department of Agriculture,1/24/24,Linux,10416,Chrome
Operating system and browser,Department of Agriculture,1/24/24,Windows,7695,Firefox
Operating system and browser,Department of Agriculture,1/24/24,iOS,6046,Safari (in-app)
Operating system and browser,Department of Agriculture,1/24/24,Android,4384,Samsung Internet
Operating system and browser,Department of Agriculture,1/24/24,Android,2558,Android Webview
Operating system and browser,Department of Agriculture,1/24/24,Macintosh,2431,Firefox
Operating system and browser,Department of Agriculture,1/24/24,Android,733,Firefox
Operating system and browser,Department of Agriculture,1/24/24,Windows,672,Opera
Operating system and browser,Department of Agriculture,1/24/24,Android,596,Amazon Silk
Operating system and browser,Department of Agriculture,1/24/24,Linux,373,Firefox
Operating system and browser,Department of Agriculture,1/24/24,Windows,314,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/24/24,Android,291,Opera
Operating system and browser,Department of Agriculture,1/24/24,iOS,285,(not set)
Operating system and browser,Department of Agriculture,1/24/24,Macintosh,217,Edge
Operating system and browser,Department of Agriculture,1/24/24,Macintosh,201,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/24/24,Linux,148,Samsung Internet
Operating system and browser,Department of Agriculture,1/24/24,Windows,137,Internet Explorer
Operating system and browser,Department of Agriculture,1/24/24,(not set),115,Opera Mini
Operating system and browser,Department of Agriculture,1/23/24,Windows,177585,Chrome
Operating system and browser,Department of Agriculture,1/23/24,iOS,111357,Safari
Operating system and browser,Department of Agriculture,1/23/24,Windows,74344,Edge
Operating system and browser,Department of Agriculture,1/23/24,Android,64389,Chrome
